KEY;KOD;Ülke;Yýl;GFCF (Yatýrým);FDI (Yabancý Yatýrým);CPI (Enflasyon);Unemployment (Ýþsizlik);Current_Account (Cari Denge);Exchange_Rate (Kur);Govt_Exp (Devlet Harcamasý);Pop_Growth (Nüfus Artýþý);Export_GDP (Ýhracat);GDP_Growth (TARGET - Tahmin edilecek sütun);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
FIN_1960;FIN;Finland;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;3.2000000022;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DEU_1960;DEU;Germany;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;4.2000000032;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
GRC_1960;GRC;Greece;1960;1009176517;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;30.000300003;EKSÝK VERÝ;EKSÝK VERÝ;9,865662679;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HUN_1960;HUN;Hungary;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IND_1960;IND;India;1960;5353005447;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;4.7619000037619;EKSÝK VERÝ;EKSÝK VERÝ;4,463156456;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IDN_1960;IDN;Indonesia;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;11,53254741;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
IRL_1960;IRL;Ireland;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;0.357142999357143;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ISR_1960;ISR;Israel;1960;740000000;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;-1.33525009794687;0.000179999605382631;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ITA_1960;ITA;Italy;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;623.98633587256;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JPN_1960;JPN;Japan;1960;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;1.7;EKSÝK VERÝ;360.000000359;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;EKSÝK VERÝ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
